name,price,brand,kv,i_a,v,p_w,m_kg
NTM Prop Drive 3536A Series Replacement Shaft,22.01,ntm,,,,,
Turnigy TrackStar Waterproof 1/10 Brushless Power System 3520KV/80A,71.70,trackstar,3520.0,60.0,8.0,660.0,0.088
Dr. Mad Thrust 40mm 8-Blade Alloy EDF 8000kv Motor - 330 Watt (3S),27.12,drmadthrust,8000.0,26.0,11.0,330.0,0.063
Turnigy Park480 Brushless Outrunner 850kv,21.58,turnigy,850.0,28.0,11.0,275.0,0.08
TrackStar ROAR approved 1/10th Stock Class Brushless ESC and Motor Combo (21.5T),76.49,trackstar,1855.0,22.0,8.0,150.0,0.177
Turnigy XK2845-1980KV Brushless Inrunner,24.10,turnigyxk,1980.0,24.0,33.0,792.0,0.125
Turnigy Aerodrive SK3 - 3536-1400kv Brushless Outrunner Motor ,30.02,sk3,1400.0,40.0,16.0,590.0,0.11
Turnigy XK-3650 5400KV Brushless Inrunner,24.92,turnigyxk,5400.0,135.0,15.0,1700.0,0.2
Turnigy Aerodrive SK3 - 4250-350KV Brushless Outrunner Motor,38.62,sk3,350.0,53.0,19.0,1190.0,0.266
Turnigy Aerodrive SK3 - 4240-620KV Brushless Outrunner Motor,35.83,sk3,620.0,48.0,19.0,830.0,0.194
TrackStar ROAR approved 1/10th Stock Class Brushless ESC and Motor Combo (17.5T),74.86,trackstar,2270.0,28.0,8.0,190.0,0.178
Turnigy Aerodrive SK3 - 2830-1130kv Brushless Outrunner Motor,20.37,sk3,1130.0,20.0,11.0,187.0,0.058
PROPDRIVE v2 2836 1800KV Brushless Outrunner Motor ,19.50,propdrive,1800.0,30.0,17.0,438.0,0.082
Durafly® ™ Tundra - 3636-900KV Replacement Motor w/Mount and Propeller Shaft,29.63,durafly,900.0,,,,
hexTronik DT700 Brushless Outrunner 700kv,3.41,hextronik,700.0,13.0,13.0,270.0,0.078
9235-100KV Turnigy Multistar Brushless Multi-Rotor Motor,105.50,multistar,100.0,57.0,45.0,2800.0,0.674
2040SL 4800kv Brushless Inrunner (WaterCooled),23.50,,4800.0,0.0,11.0,0.0,0.077
Turnigy AX-2203C 1400KV/60W Brushless Outrunner Motor,10.47,turnigy,1400.0,7.0,7.0,60.0,0.02
Turnigy L2210-1650 Bell Style Motor (250w),10.43,turnigy,1650.0,22.0,11.0,250.0,0.05
Turnigy TrackStar 7.5T Sensored Brushless Motor 5135KV (ROAR approved),34.86,trackstar,5135.0,56.0,8.0,410.0,0.174
Turnigy 600 Series 1220KV Brushless Outrunner Helicopter Motor,36.15,turnigy,1220.0,95.0,25.0,2100.0,0.38
Turnigy Aerodrive SK3 - 2836-2500kv Brushless Outrunner Motor,25.11,sk3,2500.0,35.0,11.0,405.0,0.08
Brushless Inrunner Motor 2435 4800KV (1:18th - 1:14th),20.39,,4800.0,24.0,7.4,300.0,0.059
1712- 2290Kv 9.2g 3.5A 160g Thrust Outrunner,10.49,,2290.0,3.4,11.0,0.0,0.009
Turnigy RotoMax 50cc Size Brushless Outrunner Motor,198.17,rotomax,172.0,120.0,44.0,5300.0,1.08
Turnigy Aerodrive SK3 - 3542-1185kv Brushless Outrunner Motor,36.14,sk3,1185.0,49.0,15.0,730.0,0.141
Turnigy AquaStar T20 3T 730KV/1280KV Water Cooled Brushless Motor,103.85,aquastar,1280.0,128.0,41.0,5280.0,0.971
PROPDRIVE v2 3548 1100KV Brushless Outrunner Motor,29.40,propdrive,1100.0,70.0,14.8,640.0,0.185
Turnigy Aerodrive SK3 - 3548-700kv Brushless Outrunner Motor,39.98,sk3,700.0,45.0,19.0,665.0,0.177
PROPDRIVE V2 2826 1100kv Brushless Outrunner Motor,14.74,propdrive,1100.0,20.0,17.0,252.0,0.06
KEDA 56-63 195KV Brushless Outrunner 6S 1500W,33.21,keda,195.0,80.0,22.0,1500.0,0.5
PROPDRIVE v2 2830 800KV Brushless Outrunner Motor,18.29,propdrive,800.0,20.0,17.0,270.0,0.065
Turnigy Aerodrive SK3 - 3530-1150kv Brushless Outrunner Motor,26.31,sk3,1150.0,24.0,15.0,330.0,0.076
Turnigy TrackStar 1/8th Sensored Brushless Motor 2100KV,59.39,trackstar,2100.0,140.0,15.0,2100.0,0.329
Turnigy SK3 Fandrive - 3659-1900kv (90mm EDF) ,53.68,sk3,1900.0,80.0,8.0,1770.0,0.249
Turnigy TrackStar Waterproof 1/10 Brushless Power System 3000KV/80A,66.61,trackstar,3000.0,46.0,8.0,260.0,0.088
3508-580KV Turnigy Multistar 14 Pole Brushless Multi-Rotor Motor With Extra Long Leads,33.79,multistar,580.0,26.0,25.0,340.0,0.102
Turnigy TrackStar 1/8th Sensored Brushless Motor 1900KV,63.51,trackstar,1900.0,120.0,15.0,1800.0,0.329
Turnigy XK-4074 2000KV Brushless Inrunner,48.31,turnigyxk,2000.0,120.0,25.0,3000.0,0.38
Watercooled Brushless Inrunner 3660SL 3180kv,49.18,,3180.0,94.0,18.0,1690.0,0.28
Turnigy D5035-125KV Sensored Brushless Motor,97.88,turnigy,125.0,45.0,45.0,2000.0,0.745
Turnigy 3648 1450KV Brushless Motor ,30.75,turnigy,1450.0,50.0,22.0,1600.0,0.181
Brushless Inrunner Motor 3660 2600KV (1:10th - 540),18.88,,2600.0,3.0,19.0,1200.0,0.195
Turnigy Multistar 4225-610Kv 16Pole Multi-Rotor Outrunner,31.81,multistar,610.0,22.0,15.0,330.0,0.086
Turnigy 2836 Brushless 450-Size Heli Motor 3700kv,22.24,turnigy,3700.0,30.0,15.0,700.0,0.07
Turnigy XK-3665 3190KV Brushless Inrunner,35.04,turnigyxk,3190.0,90.0,17.0,1980.0,0.275
Turnigy Aerodrive SK3 - 6364-213KV Brushless Outrunner Motor,75.80,sk3,213.0,65.0,37.0,2550.0,0.706
Turnigy Aerodrive SK3 - 4250-410KV Brushless Outrunner Motor,38.62,sk3,410.0,55.0,19.0,1310.0,0.26
Turnigy D2205-2600KV 28g Brushless Motor CW,7.30,turnigy,2600.0,20.0,15.0,280.0,0.028
Turnigy XK3674-1650KV  2400W Inrunner,34.99,turnigyxk,1650.0,53.5,34.0,1819.0,0.31
Turnigy SK8 6374-192KV Sensored Brushless Motor (14P),97.45,sk8,192.0,100.0,45.0,4400.0,0.94
2848SL 3900kv Brushless Inrunner (WaterCooled),39.59,,3900.0,35.0,12.0,220.0,0.153
Turnigy Aerodrive SK3 - 5045-450KV Brushless Outrunner Motor,47.21,sk3,450.0,58.0,26.0,1260.0,0.275
PROPDRIVE v2 2836 2300KV Brushless Outrunner Motor (Short Shaft Version),24.50,propdrive,2300.0,45.0,17.0,630.0,0.079
Multistar V-Spec 1104-3600KV Multi-Rotor Motor (CCW),8.39,multistar,3600.0,8.0,7.0,16.0,0.008
Turnigy TrackStar 1/8th Sensored Brushless Motor 2400KV,62.77,trackstar,2400.0,160.0,15.0,2300.0,0.329
Turnigy XK1222-11000KV Brushless Inrunner,10.94,turnigyxk,11000.0,7.0,7.0,52.0,0.01
Turnigy Aerodrive SK3 2118-3100KV Brushless Outrunner Motor ,15.26,sk3,3100.0,5.0,12.0,39.0,0.016
Turnigy Aerodrive SK3 - 5055-320KV Brushless Outrunner Motor,52.71,sk3,320.0,65.0,37.0,1630.0,0.376
